Dakahlia	258	46
Red Sea	314	172
Behera	221	62
Fayoum	232	105
Gharbia	247	53
Alexandria	207	54
Ismailia	290	63
Giza	191	125
Menoufia	244	65
Menia	227	144
Cairo	264	102
Kalyoubia	252	72
Luxor	296	230
El Wadi EL Gidid	152	218
Suez	282	90
Sharkia	264	60
Aswan	306	254
Asyout	262	171
Beni-Suef	250	119
Port-Said	287	45
Damietta	268	34
South Sinai	329	117
Kafr-El-Sheikh	242	38
Matrouh	122	72
Qena	308	217
North Sinai	326	68
Suhag	278	196
