Cairo,10.20
Giza,9.46
Sharkia,7.86
Dakahlia,7.01
Behera,6.83
Menia,6.28
Kalyoubia,6.10
Suhag,5.67
Alexandria,5.52
Gharbia,5.41
Asyout,5.01
Menoufia,4.71
Fayoum,4.05
Kafr-El-Sheikh,3.70
Qena,3.61
Beni-Suef,3.56
Aswan,1.64
Damietta,1.61
Ismailia,1.44
Luxor,1.39
Port-Said,0.79
Suez,0.79
Matrouh,0.54
North Sinai,0.50
Red Sea,0.40
El Wadi EL Gidid,0.27
South Sinai,0.12
